/Library/Developer/CommandLineTools/usr/bin/python3: can't open file '/Users/eilinaire/coprem/Coprem/03-system/scripts/autonomous_loop.py': [Errno 2] No such file or directory
/Users/eilinaire/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-06-06 12:19:11,433 [INFO] ============================================================
2026-06-06 12:19:11,433 [INFO] COPREM Autonomous Loop started
2026-06-06 12:19:11,433 [INFO] Polling every 3s | LiteLLM: http://localhost:4000
2026-06-06 12:19:11,433 [INFO] ============================================================
2026-06-06 13:01:42,867 [INFO]   … idle, queue empty
2026-06-06 13:02:46,658 [INFO]   … idle, queue empty
2026-06-06 13:03:50,638 [INFO]   … idle, queue empty
2026-06-06 13:04:54,681 [INFO]   … idle, queue empty
2026-06-06 13:05:58,577 [INFO]   … idle, queue empty
2026-06-06 13:07:02,641 [INFO]   … idle, queue empty
2026-06-06 13:08:06,603 [INFO]   … idle, queue empty
2026-06-06 13:09:10,490 [INFO]   … idle, queue empty
2026-06-06 13:10:14,256 [INFO]   … idle, queue empty
2026-06-06 13:11:18,142 [INFO]   … idle, queue empty
2026-06-06 13:12:21,969 [INFO]   … idle, queue empty
2026-06-06 13:13:25,870 [INFO]   … idle, queue empty
2026-06-06 13:14:29,752 [INFO]   … idle, queue empty
2026-06-06 13:15:33,608 [INFO]   … idle, queue empty
2026-06-06 13:16:37,606 [INFO]   … idle, queue empty
2026-06-06 13:17:41,377 [INFO]   … idle, queue empty
2026-06-06 13:18:45,308 [INFO]   … idle, queue empty
2026-06-06 13:19:49,161 [INFO]   … idle, queue empty
2026-06-06 13:20:53,010 [INFO]   … idle, queue empty
2026-06-06 13:21:56,980 [INFO]   … idle, queue empty
2026-06-06 13:23:00,627 [INFO]   … idle, queue empty
2026-06-06 13:24:04,685 [INFO]   … idle, queue empty
2026-06-06 13:25:08,511 [INFO]   … idle, queue empty
2026-06-06 13:26:12,228 [INFO]   … idle, queue empty
2026-06-06 13:27:15,937 [INFO]   … idle, queue empty
2026-06-06 13:28:19,963 [INFO]   … idle, queue empty
2026-06-06 13:29:23,803 [INFO]   … idle, queue empty
2026-06-06 13:30:27,678 [INFO]   … idle, queue empty
2026-06-06 13:31:31,819 [INFO]   … idle, queue empty
2026-06-06 13:32:35,588 [INFO]   … idle, queue empty
2026-06-06 13:33:39,556 [INFO]   … idle, queue empty
2026-06-06 13:34:43,544 [INFO]   … idle, queue empty
2026-06-06 13:35:47,172 [INFO]   … idle, queue empty
2026-06-06 13:36:51,021 [INFO]   … idle, queue empty
2026-06-06 13:37:54,908 [INFO]   … idle, queue empty
2026-06-06 13:38:58,955 [INFO]   … idle, queue empty
2026-06-06 13:40:02,903 [INFO]   … idle, queue empty
2026-06-06 13:41:06,749 [INFO]   … idle, queue empty
2026-06-06 13:42:10,692 [INFO]   … idle, queue empty
2026-06-06 13:43:14,723 [INFO]   … idle, queue empty
2026-06-06 13:44:18,657 [INFO]   … idle, queue empty
2026-06-06 13:45:22,702 [INFO]   … idle, queue empty
2026-06-06 13:46:26,499 [INFO]   … idle, queue empty
2026-06-06 13:47:30,361 [INFO]   … idle, queue empty
2026-06-06 13:48:34,154 [INFO]   … idle, queue empty
2026-06-06 13:49:37,881 [INFO]   … idle, queue empty
2026-06-06 13:50:41,757 [INFO]   … idle, queue empty
2026-06-06 13:51:45,365 [INFO]   … idle, queue empty
2026-06-06 13:52:49,055 [INFO]   … idle, queue empty
2026-06-06 13:53:52,884 [INFO]   … idle, queue empty
2026-06-06 13:54:56,680 [INFO]   … idle, queue empty
2026-06-06 13:56:00,239 [INFO]   … idle, queue empty
2026-06-06 13:57:04,143 [INFO]   … idle, queue empty
2026-06-06 13:58:07,894 [INFO]   … idle, queue empty
2026-06-06 13:59:11,755 [INFO]   … idle, queue empty
2026-06-06 14:00:15,504 [INFO]   … idle, queue empty
2026-06-06 14:01:19,262 [INFO]   … idle, queue empty
2026-06-06 14:02:22,968 [INFO]   … idle, queue empty
2026-06-06 14:03:26,754 [INFO]   … idle, queue empty
2026-06-06 14:04:30,423 [INFO]   … idle, queue empty
2026-06-06 14:05:34,342 [INFO]   … idle, queue empty
2026-06-06 14:06:38,061 [INFO]   … idle, queue empty
2026-06-06 14:07:41,852 [INFO]   … idle, queue empty
2026-06-06 14:08:45,547 [INFO]   … idle, queue empty
2026-06-06 14:09:49,371 [INFO]   … idle, queue empty
2026-06-06 14:10:53,095 [INFO]   … idle, queue empty
2026-06-06 14:11:56,755 [INFO]   … idle, queue empty
2026-06-06 14:13:00,386 [INFO]   … idle, queue empty
2026-06-06 14:14:04,178 [INFO]   … idle, queue empty
2026-06-06 14:15:07,774 [INFO]   … idle, queue empty
2026-06-06 14:16:11,692 [INFO]   … idle, queue empty
2026-06-06 14:17:15,454 [INFO]   … idle, queue empty
2026-06-06 14:18:19,435 [INFO]   … idle, queue empty
2026-06-06 14:19:23,171 [INFO]   … idle, queue empty
2026-06-06 14:20:27,045 [INFO]   … idle, queue empty
2026-06-06 14:21:30,729 [INFO]   … idle, queue empty
2026-06-06 14:22:34,667 [INFO]   … idle, queue empty
2026-06-06 14:23:38,430 [INFO]   … idle, queue empty
2026-06-06 14:24:42,142 [INFO]   … idle, queue empty
2026-06-06 14:25:45,883 [INFO]   … idle, queue empty
2026-06-06 14:26:49,636 [INFO]   … idle, queue empty
2026-06-06 14:27:53,506 [INFO]   … idle, queue empty
2026-06-06 14:28:57,512 [INFO]   … idle, queue empty
2026-06-06 14:30:01,360 [INFO]   … idle, queue empty
2026-06-06 14:31:05,275 [INFO]   … idle, queue empty
2026-06-06 14:32:09,002 [INFO]   … idle, queue empty
2026-06-06 14:33:12,762 [INFO]   … idle, queue empty
2026-06-06 14:34:16,541 [INFO]   … idle, queue empty
2026-06-06 14:35:20,450 [INFO]   … idle, queue empty
2026-06-06 14:36:24,413 [INFO]   … idle, queue empty
2026-06-06 14:37:28,172 [INFO]   … idle, queue empty
2026-06-06 14:38:32,039 [INFO]   … idle, queue empty
2026-06-06 14:39:36,148 [INFO]   … idle, queue empty
2026-06-06 14:40:40,247 [INFO]   … idle, queue empty
2026-06-06 14:41:44,103 [INFO]   … idle, queue empty
2026-06-06 14:42:47,951 [INFO]   … idle, queue empty
2026-06-06 14:43:51,853 [INFO]   … idle, queue empty
2026-06-06 14:44:55,918 [INFO]   … idle, queue empty
2026-06-06 14:46:00,055 [INFO]   … idle, queue empty
2026-06-06 14:47:03,947 [INFO]   … idle, queue empty
2026-06-06 14:48:29,386 [INFO]   … idle, queue empty
2026-06-06 14:49:33,279 [INFO]   … idle, queue empty
2026-06-06 14:50:37,260 [INFO]   … idle, queue empty
2026-06-06 14:51:41,342 [INFO]   … idle, queue empty
2026-06-06 14:52:45,241 [INFO]   … idle, queue empty
2026-06-06 14:53:49,088 [INFO]   … idle, queue empty
2026-06-06 14:54:52,931 [INFO]   … idle, queue empty
2026-06-06 14:55:56,852 [INFO]   … idle, queue empty
2026-06-06 14:57:00,857 [INFO]   … idle, queue empty
2026-06-06 14:58:04,883 [INFO]   … idle, queue empty
2026-06-06 14:59:08,604 [INFO]   … idle, queue empty
2026-06-06 15:00:12,541 [INFO]   … idle, queue empty
2026-06-06 15:01:16,618 [INFO]   … idle, queue empty
2026-06-06 15:02:20,517 [INFO]   … idle, queue empty
2026-06-06 15:03:24,382 [INFO]   … idle, queue empty
2026-06-06 15:04:28,377 [INFO]   … idle, queue empty
2026-06-06 15:05:32,065 [INFO]   … idle, queue empty
2026-06-06 15:06:37,169 [INFO]   … idle, queue empty
2026-06-06 15:07:41,902 [INFO]   … idle, queue empty
2026-06-06 15:08:46,139 [INFO]   … idle, queue empty
2026-06-06 15:09:50,271 [INFO]   … idle, queue empty
2026-06-06 15:10:54,327 [INFO]   … idle, queue empty
2026-06-06 15:11:58,539 [INFO]   … idle, queue empty
2026-06-06 15:13:02,574 [INFO]   … idle, queue empty
2026-06-06 15:14:06,606 [INFO]   … idle, queue empty
2026-06-06 15:15:10,389 [INFO]   … idle, queue empty
2026-06-06 15:16:14,645 [INFO]   … idle, queue empty
2026-06-06 15:17:18,700 [INFO]   … idle, queue empty
2026-06-06 15:18:22,558 [INFO]   … idle, queue empty
2026-06-06 15:19:26,416 [INFO]   … idle, queue empty
2026-06-06 15:20:30,298 [INFO]   … idle, queue empty
2026-06-06 15:21:34,062 [INFO]   … idle, queue empty
2026-06-06 15:22:37,902 [INFO]   … idle, queue empty
2026-06-06 15:23:41,791 [INFO]   … idle, queue empty
2026-06-06 15:24:45,863 [INFO]   … idle, queue empty
2026-06-06 15:25:49,655 [INFO]   … idle, queue empty
2026-06-06 15:26:53,323 [INFO]   … idle, queue empty
2026-06-06 15:27:57,165 [INFO]   … idle, queue empty
2026-06-06 15:29:01,070 [INFO]   … idle, queue empty
2026-06-06 15:30:04,722 [INFO]   … idle, queue empty
2026-06-06 15:31:08,572 [INFO]   … idle, queue empty
2026-06-06 15:32:12,347 [INFO]   … idle, queue empty
2026-06-06 15:33:16,157 [INFO]   … idle, queue empty
2026-06-06 15:34:20,312 [INFO]   … idle, queue empty
2026-06-06 15:35:24,394 [INFO]   … idle, queue empty
2026-06-06 15:36:28,362 [INFO]   … idle, queue empty
2026-06-06 15:37:32,327 [INFO]   … idle, queue empty
2026-06-06 15:38:36,308 [INFO]   … idle, queue empty
2026-06-06 15:39:40,145 [INFO]   … idle, queue empty
2026-06-06 15:40:43,978 [INFO]   … idle, queue empty
2026-06-06 15:41:47,704 [INFO]   … idle, queue empty
2026-06-06 15:42:51,443 [INFO]   … idle, queue empty
2026-06-06 15:43:55,314 [INFO]   … idle, queue empty
2026-06-06 15:44:59,195 [INFO]   … idle, queue empty
2026-06-06 15:46:02,906 [INFO]   … idle, queue empty
2026-06-06 15:47:06,893 [INFO]   … idle, queue empty
2026-06-06 15:48:10,777 [INFO]   … idle, queue empty
2026-06-06 15:49:14,442 [INFO]   … idle, queue empty
2026-06-06 15:50:18,420 [INFO]   … idle, queue empty
2026-06-06 15:51:22,202 [INFO]   … idle, queue empty
2026-06-06 15:52:25,936 [INFO]   … idle, queue empty
2026-06-06 15:53:29,989 [INFO]   … idle, queue empty
2026-06-06 15:54:33,934 [INFO]   … idle, queue empty
2026-06-06 15:55:37,915 [INFO]   … idle, queue empty
2026-06-06 15:56:41,842 [INFO]   … idle, queue empty
2026-06-06 15:57:45,588 [INFO]   … idle, queue empty
2026-06-06 15:58:49,584 [INFO]   … idle, queue empty
2026-06-06 15:59:53,630 [INFO]   … idle, queue empty
2026-06-06 16:00:57,659 [INFO]   … idle, queue empty
2026-06-06 16:02:01,454 [INFO]   … idle, queue empty
2026-06-06 16:03:05,033 [INFO]   … idle, queue empty
2026-06-06 16:04:08,944 [INFO]   … idle, queue empty
2026-06-06 16:05:12,578 [INFO]   … idle, queue empty
2026-06-06 16:06:16,519 [INFO]   … idle, queue empty
2026-06-06 16:07:20,345 [INFO]   … idle, queue empty
2026-06-06 16:08:24,448 [INFO]   … idle, queue empty
2026-06-06 16:09:28,432 [INFO]   … idle, queue empty
2026-06-06 16:10:32,434 [INFO]   … idle, queue empty
2026-06-06 16:11:36,418 [INFO]   … idle, queue empty
2026-06-06 16:12:40,295 [INFO]   … idle, queue empty
2026-06-06 16:13:44,457 [INFO]   … idle, queue empty
2026-06-06 16:14:48,414 [INFO]   … idle, queue empty
2026-06-06 16:15:52,216 [INFO]   … idle, queue empty
2026-06-06 16:16:56,099 [INFO]   … idle, queue empty
2026-06-06 16:17:59,887 [INFO]   … idle, queue empty
2026-06-06 16:19:03,827 [INFO]   … idle, queue empty
2026-06-06 16:20:07,643 [INFO]   … idle, queue empty
2026-06-06 16:21:11,442 [INFO]   … idle, queue empty
2026-06-06 16:22:15,150 [INFO]   … idle, queue empty
2026-06-06 16:23:18,965 [INFO]   … idle, queue empty
2026-06-06 16:24:23,042 [INFO]   … idle, queue empty
2026-06-06 16:25:26,750 [INFO]   … idle, queue empty
2026-06-06 16:26:30,405 [INFO]   … idle, queue empty
2026-06-06 16:27:34,294 [INFO]   … idle, queue empty
2026-06-06 16:28:38,334 [INFO]   … idle, queue empty
2026-06-06 16:29:42,319 [INFO]   … idle, queue empty
2026-06-06 16:30:46,391 [INFO]   … idle, queue empty
2026-06-06 16:31:50,067 [INFO]   … idle, queue empty
2026-06-06 16:32:54,155 [INFO]   … idle, queue empty
2026-06-06 16:33:58,064 [INFO]   … idle, queue empty
2026-06-06 16:35:02,079 [INFO]   … idle, queue empty
2026-06-06 16:36:06,074 [INFO]   … idle, queue empty
2026-06-06 16:37:09,795 [INFO]   … idle, queue empty
2026-06-06 16:38:13,724 [INFO]   … idle, queue empty
2026-06-06 16:39:17,861 [INFO]   … idle, queue empty
2026-06-06 16:39:25,611 [INFO] Shutdown signal received — finishing current cycle...
2026-06-06 16:39:27,291 [INFO] Autonomous loop stopped cleanly.
/Users/eilinaire/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-06-06 16:39:27,535 [INFO] ============================================================
2026-06-06 16:39:27,535 [INFO] COPREM Autonomous Loop started
2026-06-06 16:39:27,535 [INFO] Polling every 3s | LiteLLM: http://localhost:4000
2026-06-06 16:39:27,535 [INFO] ============================================================
2026-06-06 16:39:30,716 [ERROR] Loop error: Postgres container not found
2026-06-06 16:39:33,812 [ERROR] Loop error: Postgres container not found
2026-06-06 16:39:36,861 [ERROR] Loop error: Postgres container not found
2026-06-06 16:39:39,975 [ERROR] Loop error: Postgres container not found
2026-06-06 16:39:43,043 [ERROR] Loop error: Postgres container not found
2026-06-06 16:39:46,147 [ERROR] Loop error: Postgres container not found
2026-06-06 16:39:49,190 [ERROR] Loop error: Postgres container not found
2026-06-06 16:39:52,238 [ERROR] Loop error: Postgres container not found
2026-06-06 16:39:55,279 [ERROR] Loop error: Postgres container not found
2026-06-06 16:39:58,344 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:01,452 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:04,558 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:07,649 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:10,716 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:13,826 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:16,910 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:20,027 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:23,108 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:26,161 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:29,277 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:32,384 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:35,495 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:38,596 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:41,647 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:44,758 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:47,874 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:50,959 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:54,021 [ERROR] Loop error: Postgres container not found
2026-06-06 16:40:57,112 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:00,227 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:03,340 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:06,412 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:09,476 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:12,590 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:15,703 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:18,785 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:21,877 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:24,980 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:28,068 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:31,183 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:34,230 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:37,291 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:40,401 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:43,503 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:46,619 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:49,704 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:52,815 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:55,929 [ERROR] Loop error: Postgres container not found
2026-06-06 16:41:59,046 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:02,107 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:05,222 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:08,330 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:11,423 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:14,468 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:17,575 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:20,685 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:23,797 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:26,847 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:29,914 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:32,975 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:36,050 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:39,132 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:42,245 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:45,341 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:48,447 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:51,565 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:54,680 [ERROR] Loop error: Postgres container not found
2026-06-06 16:42:57,730 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:00,839 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:03,949 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:07,067 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:10,163 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:13,245 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:16,290 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:19,386 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:22,496 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:25,608 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:28,656 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:31,770 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:34,884 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:37,993 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:41,097 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:44,144 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:47,251 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:50,365 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:53,479 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:56,542 [ERROR] Loop error: Postgres container not found
2026-06-06 16:43:59,629 [ERROR] Loop error: Postgres container not found
2026-06-06 16:44:02,703 [ERROR] Loop error: Postgres container not found
2026-06-06 16:44:05,816 [ERROR] Loop error: Postgres container not found
2026-06-06 16:44:08,917 [ERROR] Loop error: Postgres container not found
2026-06-06 16:44:12,030 [ERROR] Loop error: Postgres container not found
2026-06-06 16:44:15,113 [ERROR] Loop error: Postgres container not found
2026-06-06 16:44:18,207 [ERROR] Loop error: Postgres container not found
2026-06-06 16:44:21,277 [ERROR] Loop error: Postgres container not found
2026-06-06 16:44:24,340 [ERROR] Loop error: Postgres container not found
2026-06-06 16:44:27,428 [ERROR] Loop error: Postgres container not found
2026-06-06 16:44:30,493 [ERROR] Loop error: Postgres container not found
2026-06-06 16:44:33,600 [ERROR] Loop error: Postgres container not found
2026-06-06 16:44:36,757 [ERROR] Loop error: Command '['docker', 'exec', '4b15e3f8ed2e', 'psql', '-U', 'coprem', '-d', 'coprem_os', '-t', '-A', '-F', '|||', '-c', "\nSELECT id::text, type, payload::text, status, priority, assigned_to, next_agent, retries, max_retries\nFROM task_queue\nWHERE status = 'pending' AND run_at <= NOW()\nORDER BY priority ASC, run_at ASC\nLIMIT 5;\n"]' returned non-zero exit status 2.
2026-06-06 16:44:39,903 [ERROR] Loop error: Command '['docker', 'exec', '4b15e3f8ed2e', 'psql', '-U', 'coprem', '-d', 'coprem_os', '-t', '-A', '-F', '|||', '-c', "\nSELECT id::text, type, payload::text, status, priority, assigned_to, next_agent, retries, max_retries\nFROM task_queue\nWHERE status = 'pending' AND run_at <= NOW()\nORDER BY priority ASC, run_at ASC\nLIMIT 5;\n"]' returned non-zero exit status 2.
2026-06-06 16:44:43,051 [ERROR] Loop error: Command '['docker', 'exec', '4b15e3f8ed2e', 'psql', '-U', 'coprem', '-d', 'coprem_os', '-t', '-A', '-F', '|||', '-c', "\nSELECT id::text, type, payload::text, status, priority, assigned_to, next_agent, retries, max_retries\nFROM task_queue\nWHERE status = 'pending' AND run_at <= NOW()\nORDER BY priority ASC, run_at ASC\nLIMIT 5;\n"]' returned non-zero exit status 2.
2026-06-06 16:44:46,149 [ERROR] Loop error: Command '['docker', 'exec', '4b15e3f8ed2e', 'psql', '-U', 'coprem', '-d', 'coprem_os', '-t', '-A', '-F', '|||', '-c', "\nSELECT id::text, type, payload::text, status, priority, assigned_to, next_agent, retries, max_retries\nFROM task_queue\nWHERE status = 'pending' AND run_at <= NOW()\nORDER BY priority ASC, run_at ASC\nLIMIT 5;\n"]' returned non-zero exit status 2.
2026-06-06 16:44:49,252 [ERROR] Loop error: Command '['docker', 'exec', '4b15e3f8ed2e', 'psql', '-U', 'coprem', '-d', 'coprem_os', '-t', '-A', '-F', '|||', '-c', "\nSELECT id::text, type, payload::text, status, priority, assigned_to, next_agent, retries, max_retries\nFROM task_queue\nWHERE status = 'pending' AND run_at <= NOW()\nORDER BY priority ASC, run_at ASC\nLIMIT 5;\n"]' returned non-zero exit status 2.
2026-06-06 16:44:52,441 [ERROR] Loop error: Command '['docker', 'exec', '4b15e3f8ed2e', 'psql', '-U', 'coprem', '-d', 'coprem_os', '-t', '-A', '-F', '|||', '-c', "\nSELECT id::text, type, payload::text, status, priority, assigned_to, next_agent, retries, max_retries\nFROM task_queue\nWHERE status = 'pending' AND run_at <= NOW()\nORDER BY priority ASC, run_at ASC\nLIMIT 5;\n"]' returned non-zero exit status 2.
2026-06-06 16:44:55,638 [ERROR] Loop error: Command '['docker', 'exec', '4b15e3f8ed2e', 'psql', '-U', 'coprem', '-d', 'coprem_os', '-t', '-A', '-F', '|||', '-c', "\nSELECT id::text, type, payload::text, status, priority, assigned_to, next_agent, retries, max_retries\nFROM task_queue\nWHERE status = 'pending' AND run_at <= NOW()\nORDER BY priority ASC, run_at ASC\nLIMIT 5;\n"]' returned non-zero exit status 2.
2026-06-06 16:44:58,862 [ERROR] Loop error: Command '['docker', 'exec', '4b15e3f8ed2e', 'psql', '-U', 'coprem', '-d', 'coprem_os', '-t', '-A', '-F', '|||', '-c', "\nSELECT id::text, type, payload::text, status, priority, assigned_to, next_agent, retries, max_retries\nFROM task_queue\nWHERE status = 'pending' AND run_at <= NOW()\nORDER BY priority ASC, run_at ASC\nLIMIT 5;\n"]' returned non-zero exit status 2.
2026-06-06 16:45:02,019 [ERROR] Loop error: Command '['docker', 'exec', '4b15e3f8ed2e', 'psql', '-U', 'coprem', '-d', 'coprem_os', '-t', '-A', '-F', '|||', '-c', "\nSELECT id::text, type, payload::text, status, priority, assigned_to, next_agent, retries, max_retries\nFROM task_queue\nWHERE status = 'pending' AND run_at <= NOW()\nORDER BY priority ASC, run_at ASC\nLIMIT 5;\n"]' returned non-zero exit status 2.
2026-06-06 16:45:05,235 [ERROR] Loop error: Command '['docker', 'exec', '4b15e3f8ed2e', 'psql', '-U', 'coprem', '-d', 'coprem_os', '-t', '-A', '-F', '|||', '-c', "\nSELECT id::text, type, payload::text, status, priority, assigned_to, next_agent, retries, max_retries\nFROM task_queue\nWHERE status = 'pending' AND run_at <= NOW()\nORDER BY priority ASC, run_at ASC\nLIMIT 5;\n"]' returned non-zero exit status 2.
